,起飞机场坐标,降落机场坐标,飞行路径
44,"(103.94, 30.58)","(120.43, 30.2)","[[(103.94, 30.58), (105.0, 30.85), (106.19, 30.81), (108.65, 30.04), (110.41, 29.09), (112.21, 28.07), (117.3, 28.92), (117.81, 29.35), (118.25, 29.74), (119.31, 29.64), (119.66, 29.76), (120.2, 30.12), (120.43, 30.2)], [(103.94, 30.58), (105.0, 30.85), (106.19, 30.81), (108.65, 30.04), (110.41, 29.09), (112.21, 28.07), (117.3, 28.92), (118.25, 29.74), (119.31, 29.64), (119.66, 29.76), (120.2, 30.12), (120.43, 30.2)], [(103.94, 30.58), (105.0, 30.85), (106.19, 30.81), (114.2, 30.78), (118.99, 31.65), (119.07, 31.57), (120.17, 30.3), (120.2, 30.12), (120.43, 30.2)]]"
45,"(120.43, 30.2)","(110.51, 35.0)","[[(120.43, 30.2), (120.46, 30.24), (119.14, 31.64), (117.3, 31.78), (114.65, 33.66), (112.45, 34.11), (112.4, 34.74), (111.03, 35.12), (110.51, 35.0)]]"
46,"(106.98, 23.72)","(110.05, 25.2)","[[(106.98, 23.72), (106.65, 23.89), (110.05, 25.2)]]"
47,"(120.43, 30.2)","(110.46, 19.92)","[[(120.43, 30.2), (120.2, 30.12), (119.66, 29.76), (114.88, 25.81), (113.86, 23.51), (113.56, 22.53), (113.47, 22.22), (111.83, 21.57), (111.06, 20.95), (110.84, 20.5), (110.46, 19.92)], [(120.43, 30.2), (119.66, 29.76), (114.88, 25.81), (113.86, 23.51), (113.56, 22.53), (113.47, 22.22), (111.83, 21.57), (111.06, 20.95), (110.84, 20.5), (110.46, 19.92)]]"
48,"(123.82, 45.56)","(112.1, 32.06)","[[(123.82, 45.56), (125.9, 44.53), (125.89, 43.95), (122.16, 38.69), (121.15, 38.46), (120.54, 37.65), (112.58, 35.2), (112.28, 32.08), (112.1, 32.06)]]"
49,"(117.21, 36.83)","(115.93, 28.86)","[[(117.21, 36.83), (117.04, 36.0), (117.04, 35.6), (117.2, 33.95), (117.3, 31.78), (117.18, 29.34), (116.65, 29.39), (115.91, 28.89), (115.93, 28.86)], [(117.21, 36.83), (117.37, 36.0), (117.68, 35.17), (117.2, 34.88), (117.2, 34.09), (117.2, 33.95), (117.3, 31.78), (116.65, 29.39), (115.91, 28.89), (115.93, 28.86)], [(117.21, 36.83), (117.37, 36.0), (117.68, 35.17), (117.2, 34.88), (117.2, 34.09), (117.2, 33.95), (117.3, 31.78), (117.18, 29.34), (116.65, 29.39), (115.91, 28.89), (115.93, 28.86)]]"
50,"(113.8, 22.64)","(109.03, 29.94)","[[(113.8, 22.64), (113.74, 22.92), (113.52, 23.41), (113.42, 24.19), (110.78, 24.67), (109.61, 25.77), (109.6, 30.29), (109.03, 29.94)]]"
51,"(113.92, 22.31)","(110.46, 19.92)","[[(113.92, 22.31), (110.91, 20.64), (110.84, 20.5), (110.46, 19.92)], [(113.92, 22.31), (111.5, 20.84), (110.91, 20.64), (110.84, 20.5), (110.46, 19.92)]]"
52,"(103.94, 30.58)","(102.74, 24.96)","[[(103.94, 30.58), (104.68, 30.12), (104.28, 26.86), (103.65, 26.18), (102.74, 24.96)], [(103.94, 30.58), (104.68, 30.12), (103.65, 26.18), (102.74, 24.96)]]"
53,"(100.23, 26.71)","(110.47, 29.1)","[[(100.23, 26.71), (100.72, 26.67), (101.8, 26.53), (104.28, 26.86), (105.03, 26.64), (109.45, 28.58), (110.41, 29.09), (110.47, 29.1)]]"
54,"(111.87, 40.82)","(118.12, 24.52)","[[(111.87, 40.82), (112.2, 39.49), (113.84, 34.52), (114.2, 33.37), (115.73, 32.88), (117.3, 31.78), (117.98, 26.54), (118.12, 24.52)]]"
55,"(106.54, 38.34)","(108.6, 34.43)","[[(106.54, 38.34), (106.41, 38.35), (107.52, 35.25), (107.77, 35.21), (108.6, 34.43)], [(106.54, 38.34), (106.41, 38.35), (107.77, 35.21), (108.6, 34.43)]]"
56,"(97.1, 30.56)","(90.93, 29.3)","[[(97.1, 30.56), (97.14, 30.52), (96.42, 30.98), (91.0, 29.3), (90.93, 29.3)]]"
57,"(115.93, 28.86)","(102.74, 24.96)","[[(115.93, 28.86), (115.91, 28.89), (115.52, 28.38), (105.04, 26.37), (103.9, 25.97), (102.74, 24.96)]]"
58,"(117.32, 31.75)","(121.81, 31.15)","[[(117.32, 31.75), (118.1, 31.72), (120.32, 31.59), (121.81, 31.15)]]"
59,"(119.66, 25.92)","(119.14, 33.79)","[[(119.66, 25.92), (119.55, 26.22), (118.71, 33.47), (119.11, 33.77), (119.14, 33.79)]]"
60,"(114.2, 30.81)","(102.74, 24.96)","[[(114.2, 30.81), (113.14, 30.64), (111.65, 29.35), (103.9, 25.97), (102.74, 24.96)], [(114.2, 30.81), (113.14, 30.64), (103.9, 25.97), (102.74, 24.96)]]"
61,"(121.36, 37.4)","(113.29, 23.4)","[[(121.36, 37.4), (120.92, 37.21), (120.63, 36.93), (120.37, 36.29), (120.48, 36.12), (120.56, 35.71), (120.78, 35.48), (122.63, 31.66), (122.45, 31.45), (121.78, 31.17), (114.88, 25.81), (114.51, 24.31), (114.06, 23.97), (113.29, 23.4)], [(121.36, 37.4), (120.92, 37.21), (120.63, 36.93), (120.37, 36.29), (120.48, 36.12), (120.56, 35.71), (120.78, 35.48), (122.45, 31.45), (121.78, 31.17), (114.88, 25.81), (114.51, 24.31), (114.06, 23.97), (113.29, 23.4)]]"
